mes,anio,diesel_diff
6,2017,12732.140000000014
7,2017,91679.30000000005
8,2017,-147641.95000000007
9,2017,78701.52000000002
10,2017,-185199.30000000005
11,2017,395151.53000000014
12,2017,169697.44999999995
1,2018,-151215.66000000015
2,2018,-232147.7699999999
3,2018,-32457.02000000002
4,2018,-192264.32999999996
5,2018,895617.5700000001
6,2018,-814900.43
7,2018,16003.5
8,2018,487681.37
9,2018,-385098.35
10,2018,96415.60999999999
11,2018,-93093.70000000007
12,2018,-107389.67999999993
1,2019,403529.5399999999
2,2019,12747.959999999963
3,2019,341576.68000000017
4,2019,-334843.79000000004
5,2019,-203336.18000000005
6,2019,17228.030000000028
7,2019,27468.21000000008
8,2019,110987.7799999998
9,2019,-450066.8699999999
10,2019,443080.8300000001
11,2019,-37580.16000000015
12,2019,-24018.300000000047
1,2020,-99791.18999999994
2,2020,237837.17000000016
3,2020,130316.76999999979
4,2020,-532968.6199999999
5,2020,-143300.08000000007
6,2020,375081.6100000001
7,2020,-286217.4800000001
8,2020,11327.619999999995
9,2020,230102.64
10,2020,-130020.14000000001
11,2020,261568.82000000007
12,2020,-102348.67999999993
1,2021,135084.1299999999
2,2021,-108820.29000000004
3,2021,268285.51
4,2021,-94938.59999999986
5,2021,28845.659999999916
6,2021,161089.22999999998
7,2021,-329696.93999999994
8,2021,65551.10999999987
9,2021,-279421.3999999999
10,2021,645934.3300000001
11,2021,-512692.77
12,2021,264261.51
1,2022,144528.96999999997
2,2022,-221075.96999999997
3,2022,29479.810000000056
4,2022,37478.60999999987
5,2022,22333.040000000037
6,2022,-274716.24
7,2022,84478.43999999994
8,2022,183361.99
9,2022,-222393.06000000006
10,2022,-96990.81999999995
11,2022,156233.4700000001
12,2022,-54652.91000000015
1,2023,359991.4400000002
2,2023,-174131.69000000018
3,2023,49552.52000000002
4,2023,99662.82000000007
5,2023,10916.89000000013
